training_accuracy,training_loss,validation_accuracy,validation_loss
0.8892942070960999,0.3462629079324104,0.8601973652839661,2.1590341674654105
0.9177457690238953,0.23266553574945073,0.8799341917037964,0.628108722991065
0.9317891597747803,0.1994727932361058,0.8865131735801697,0.5709535599147019
0.9348896741867065,0.1765129232693198,0.8832237124443054,0.6016165841566888
0.9370782375335693,0.16725835108189563,0.9292762875556946,0.211918544122263
0.9407258629798889,0.17783443009833796,0.9177631735801697,0.2298548509807963
0.942002534866333,0.1614085134637197,0.9226973652839661,0.2406979227732671
0.9463797211647034,0.16430342696116568,0.9013158082962036,0.34264907260474403
0.9443734884262085,0.15803017634534933,0.9046052694320679,0.348571832046697
0.9438263773918152,0.15527910758614996,0.9292762875556946,0.20521214349489464
0.8871055841445923,0.3638201784189657,0.8618420958518982,1.5787681239215952
0.9204815030097961,0.21563135376381826,0.9029605388641357,0.48873990597693545
0.9430968165397644,0.16486898896230218,0.6134868264198303,2.2227293692137065
0.9491154551506042,0.144598957370629,0.9078947305679321,0.6139065354180179
0.9502097368240356,0.1428493805774563,0.9638158082962036,0.11107561456676769
0.9556812047958374,0.11918360572128255,0.8585526347160339,0.35727070154328094
0.9589389562606812,0.10938167199357088,0.7648026347160339,1.0049159777791876
0.9613694548606873,0.10971591299306295,0.7894737124443054,0.809008400691183
0.9655297994613647,0.1027918701055785,0.8996710777282715,0.404271401661007
0.9671712517738342,0.09801831381837425,0.9835526347160339,0.07217541322308152
0.965661346912384,0.09750446846416264,0.9703947305679321,0.13573310257082707
0.9685096740722656,0.09250711493970518,0.9753289222717285,0.0765850939175212
0.9684479236602783,0.09584592418317461,0.9703947305679321,0.089321380585285
0.9700893759727478,0.09051828627564121,0.7878289222717285,0.8293715801678205
0.9724603295326233,0.0822921729630147,0.9342105388641357,0.1826885538665872
0.9704541563987732,0.08201036045622313,0.9720394611358643,0.11845332490415067
0.9688127040863037,0.08511682890645023,0.9654605388641357,0.12533096278600983
0.9748312830924988,0.07283224401064387,0.9868420958518982,0.06445061253677857
0.9764727354049683,0.06366527080213162,0.9736841917037964,0.06737950001843274
0.9788436889648438,0.06191428270433509,0.9769737124443054,0.06387831447155852
0.977384626865387,0.06149424359028452,0.9835526347160339,0.05484748757934492
0.9801203608512878,0.056347982087232865,0.9851973652839661,0.042212012383204545
0.9788436889648438,0.0592895466973589,0.9835526347160339,0.05001357707538103
0.9788436889648438,0.05756873985439588,0.9769737124443054,0.10160193768771071
0.9830384850502014,0.048723229173039624,0.9605262875556946,0.1479722524159833
0.9804851412773132,0.051728154267635405,0.9736841917037964,0.08662608988877189
0.9823764562606812,0.04704085541861998,0.9851973652839661,0.03887156093199002
0.9844975471496582,0.04187874822039446,0.9868420958518982,0.02436115279928536
0.9816916584968567,0.04856664048766899,0.9835526347160339,0.0608847631925815
0.9817618131637573,0.047369640346017934,0.9802631735801697,0.0560734435719879
0.9823089838027954,0.05021847242949089,0.9802631735801697,0.04711720711125772
0.9839503765106201,0.04957086107225318,0.9720394611358643,0.09626054752765126
